Id;StartDate;ProformaNo;InvoiceDate;InvoiceNumber;CustomerName;CustomerCountry;SalesPeople;TotalPrice;Currency;State;LastModifiedDate
3003;2017-07-25;2246;2.10.2017;3199;Standard Trade;RUSSIA;2284ecc5-24c0-4129-8476-4c8c442b2af4;19,011.28;1;1;
3004;2017-07-24;2241;24.08.2017;3066;SARL ABAMAD IMPORT-EXPORT;ALGERIA;f00e7ade-f6c4-464b-a327-028389cd0f80;19,806.90;1;1;
3005;2017-07-24;2244;;;BİLHAN OTO;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;39,510.40;0;1;
3006;2017-07-24;2245;;;OTO İSMAİL OTOMOTİV SAN.TİC.LTD.ŞTİ.;;79a14514-381f-472e-a9ef-8e2d03fb5651;14,376.50;0;1;
3007;2017-07-21;2232;;;OTO RAS MADENİ YAĞ & FİLTRE;;79a14514-381f-472e-a9ef-8e2d03fb5651;8,725.00;0;1;
3008;2017-07-21;2233;1.11.2017;3343;AUTORENTAS DEL PACIFICO S.P.A.;CHILE;2284ecc5-24c0-4129-8476-4c8c442b2af4;25,817.76;1;1;
3009;2017-07-21;2235;;;MEST DIŞ TİCARET LTD. ŞTİ.;;5017c88e-0ce0-4bc1-a362-4222fa152183;3,550.00;0;1;
3010;2017-07-21;2236;13.09.2017;3188;LUBESPA DISTRIBUCIONES DEL LEVANTE S.L.;SPAIN;2284ecc5-24c0-4129-8476-4c8c442b2af4;9,424.79;1;1;
3011;2017-07-21;2238;27.09.2017;3290;PARTS & LUBRICANTS SRL;ITALY;eb0dd5f0-f30a-412b-9049-cbcd29b3fadf;72,433.20;1;1;
3012;2017-07-20;2227;;;BİLHAN OTO;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;8,500.00;0;1;
3013;2017-07-20;2228;5.09.2017;3190;Planet Avto;POLAND;2284ecc5-24c0-4129-8476-4c8c442b2af4;21,671.82;1;1;
3014;2017-07-20;2229;;;BUS MARKET;Ukraine;2284ecc5-24c0-4129-8476-4c8c442b2af4;24,611.53;1;7;
3015;2017-07-20;2230;11.01.2018;ERK2018000000003;GBS S.R.L;Moldova;2284ecc5-24c0-4129-8476-4c8c442b2af4;22,270.56;1;1;
3016;2017-07-20;2231;;;Mina Taşıt;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;16,094.00;0;1;
3017;2017-07-19;2223;;;DURAK RULMAN;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;26,697.00;0;1;
3018;2017-07-19;2226;;;MERCAN MOTORLU ARAÇLAR;;eb0dd5f0-f30a-412b-9049-cbcd29b3fadf;16,800.00;0;1;
3019;2017-07-18;2219;;;Mina Taşıt;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;24,760.00;0;1;
3020;2017-07-18;2220;6.09.2017;3194;Calzaretta Pasquale & C. S.R.L.;ITALY;2284ecc5-24c0-4129-8476-4c8c442b2af4;38,434.80;1;1;
3021;2017-07-18;2221;;;ÖZÇETE OTOMOTİV İNŞ.SAN.VE TİC.A.Ş.;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;18,328.00;0;1;
3022;2017-07-18;2222;;;KINA OTOMOTİV TİCARET SANAYİİ  A.Ş.;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;0;0;1;
